Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
39322186,Leonardo da Vinci: La biografía,Walter Isaacson,"Isaacson, Walter",,"=""""","=""""",5,4.14,DEBATE,Kindle Edition,592,2018,2017,,2021/11/27,,,read,,,,1,,,0,,,,,
27834628,"Francamente, Frank",Richard Ford,"Ford, Richard",Benito Gómez Ibáñez,"=""""","=""""",3,3.63,Anagrama,Kindle Edition,232,2017,2014,,2021/11/27,,,read,,,,1,,,0,,,,,
35601755,Los Médici. Una dinastía al poder (Los Médici 1): Una familia en el poder,Matteo Strukul,"Strukul, Matteo",,"=""""","=""""",3,3.28,B DE BOOKS,Kindle Edition,448,2017,2016,,2021/11/27,,,read,,,,1,,,0,,,,,
40746178,El clan de los herbívoros (Kailas Ficción),Mo Yan,"Yan, Mo",Blas Piñero Martínez,"=""""","=""""",4,4.00,Kailas Editorial,Kindle Edition,624,2018,,,2021/11/27,,,read,,,,1,,,0,,,,,
41633564,La octava vida (para Brilka),Nino Haratischwili,"Haratischwili, Nino",,"=""""","=""""",3,4.51,Alfaguara,Kindle Edition,1008,2018,2014,,2021/11/27,,,read,,,,1,,,0,,,,,
41074226,Asimetría,Lisa Halliday,"Halliday, Lisa",,"=""""","=""""",5,3.45,ALFAGUARA,Kindle Edition,,2018,2018,,2021/11/27,,,read,,,,1,,,0,,,,,
38458909,Volverás a Alaska,Kristin Hannah,"Hannah, Kristin",,"=""""","=""""",4,4.35,SUMA INTERNACIONAL,Kindle Edition,560,2018,2018,,2021/11/27,,,read,,,,1,,,0,,,,,
36477383,El olvido que seremos,Héctor Abad Faciolince,"Faciolince, Héctor Abad",,"=""""","=""""",5,4.40,Alfaguara,Kindle Edition,319,2017,2006,,2021/11/27,,,read,,,,1,,,0,,,,,
35022864,Las maldiciones,Claudia Piñeiro,"Piñeiro, Claudia",,"=""""","=""""",4,3.65,Alfaguara,Kindle Edition,351,2017,2017,,2021/11/27,,,read,,,,1,,,0,,,,,
35433121,Después del amor,Sonsoles Ónega,"Ónega, Sonsoles",,"=""""","=""""",3,3.97,Editorial Planeta,Kindle Edition,571,2017,2017,,2021/11/27,,,read,,,,1,,,0,,,,,
24791055,Los libros arden mal,Manuel Rivas,"Rivas, Manuel",,"=""""","=""""",3,3.38,ALFAGUARA,Kindle Edition,616,2010,2006,,2021/11/27,,,read,,,,1,,,0,,,,,
25967050,La canción de Aquiles,Madeline Miller,"Miller, Madeline",,"=""""","=""""",3,4.41,Suma Internacional,Kindle Edition,353,2012,2011,,2021/11/27,,,read,,,,1,,,0,,,,,
37484222,Los Médici. Un hombre al poder,Matteo Strukul,"Strukul, Matteo",,"=""""","=""""",4,3.57,Ediciones B,Kindle Edition,448,2018,2016,,2021/11/27,,,read,,,,1,,,0,,,,,
35118886,Temporada de huracanes,Fernanda Melchor,"Melchor, Fernanda",,"=""""","=""""",4,4.11,Literatura Random House,Kindle Edition,224,2017,2017,,2021/11/27,,,read,,,,1,,,0,,,,,
40722220,Mariguana a la mexicana,Nacho Lozano,"Lozano, Nacho",,"=""""","=""""",3,3.57,Grijalbo,Kindle Edition,233,2018,,,2021/11/27,,,read,,,,1,,,0,,,,,
41054805,La muerte del comendador (Libro 1),Haruki Murakami,"Murakami, Haruki",Yoko Ogihara,"=""""","=""""",5,4.06,Tusquets Editores S.A.,Kindle Edition,480,2018,2017,,2021/11/27,,,read,,,,1,,,0,,,,,
37852855,La transparencia del tiempo (Mario Conde #9),Leonardo Padura,"Padura, Leonardo",,"=""""","=""""",3,4.02,Tusquets Editores S.A.,Kindle Edition,486,2018,2018,,2021/11/27,,,read,,,,1,,,0,,,,,
38458035,La mujer en la ventana,A.J. Finn,"Finn, A.J.",,"=""""","=""""",3,3.95,Grijalbo,Kindle Edition,505,2018,2018,,2021/11/27,,,read,,,,1,,,0,,,,,
38898779,Una reina al poder (Los Médici 3),Matteo Strukul,"Strukul, Matteo",,"=""""","=""""",3,3.60,EDICIONES B,Kindle Edition,,2018,2017,,2021/11/27,,,read,,,,1,,,0,,,,,
41598805,Trilogía de Mozambique,Mia Couto,"Couto, Mia",,"=""""","=""""",4,3.52,Alfaguara,Kindle Edition,776,2018,2018,,2021/11/27,,,read,,,,1,,,0,,,,,
40814816,Sabotaje (Falcó #3),Arturo Pérez-Reverte,"Pérez-Reverte, Arturo",,"=""""","=""""",5,3.97,ALFAGUARA,Kindle Edition,376,2018,2018,,2021/11/27,,,read,,,,1,,,0,,,,,
37635153,"Cuando sale la reclusa (Comisario Adamsberg, #11)",Fred Vargas,"Vargas, Fred",,"=""""","=""""",4,4.03,Siruela,Kindle Edition,408,2018,2017,,2021/11/27,,,read,,,,1,,,0,,,,,
36497378,Olegaroy,David Toscana,"Toscana, David",,"=""""","=""""",3,3.92,Alfaguara,Kindle Edition,244,2017,2017,,2021/11/27,,,read,,,,1,,,0,,,,,
19321621,El ejército iluminado,David Toscana,"Toscana, David",,"=""""","=""""",3,3.59,alfaguara,Kindle Edition,212,2013,2006,,2021/11/27,,,read,,,,1,,,0,,,,,
19099869,American Gods,Neil Gaiman,"Gaiman, Neil",Mónica Faerna,"=""""","=""""",3,4.10,Roca Editorial,Kindle Edition,560,2012,2001,,2021/11/27,,,read,,,,1,,,0,,,,,
39681794,"AI Superpowers: China, Silicon Valley, and the New World Order",Kai-Fu Lee,"Lee, Kai-Fu",,"=""""","=""""",5,4.10,Houghton Mifflin Harcourt,Kindle Edition,272,2018,2018,,2021/11/27,,,read,,,,1,,,0,,,,,
42432285,Ni aquí ni allí,Tommy Orange,"Orange, Tommy",Julia Osuna Aguilar,"=""""","=""""",5,3.98,Alianza Editorial,Kindle Edition,260,2018,2018,,2021/11/27,,,read,,,,1,,,0,,,,,
42865378,Los lanzallamas (NARRATIVA NOVA),Rachel Kushner,"Kushner, Rachel",Amelia Pérez de Villar,"=""""","=""""",4,3.49,Galaxia Gutenberg,Kindle Edition,432,2014,2013,,2021/11/27,,,read,,,,1,,,0,,,,,
42271466,El cuaderno del año del Nobel,José Saramago,"Saramago, José",,"=""""","=""""",3,3.94,Alfaguara,Kindle Edition,264,2018,,,2021/11/27,,,read,,,,1,,,0,,,,,
41743646,Tú no matarás,Julia Navarro,"Navarro, Julia",,"=""""","=""""",4,3.87,PLAZA & JANES,Kindle Edition,1169,2018,2018,,2021/11/27,,,read,,,,1,,,0,,,,,
41457259,Pecho frío,Jaime Bayly,"Bayly, Jaime",,"=""""","=""""",5,3.54,ALFAGUARA,Kindle Edition,,2018,2018,,2021/11/27,,,read,,,,1,,,0,,,,,
36234750,Los diarios de Emilio Renzi III: Un año en la vida,Ricardo Piglia,"Piglia, Ricardo",,"=""""","=""""",4,4.34,Anagrama,Kindle Edition,296,2017,2017,,2021/11/27,,,read,,,,1,,,0,,,,,
39603468,Prins,César Aira,"Aira, César",,"=""""","=""""",4,3.26,Literatura Random House,Kindle Edition,131,2018,2018,,2021/11/27,,,read,,,,1,,,0,,,,,
40658040,Una educación,Tara Westover,"Westover, Tara",,"=""""","=""""",5,4.46,Lumen,Kindle Edition,430,2018,2018,,2021/11/27,,,read,,,,1,,,0,,,,,
35599904,No pidas nada,Reynaldo Sietecase,"Sietecase, Reynaldo",,"=""""","=""""",4,3.65,ALFAGUARA,Kindle Edition,249,2017,,,2021/11/27,,,read,,,,1,,,0,,,,,
40974743,¡Sálvese quien pueda!: El futuro del trabajo en la era de la automatización,Andrés Oppenheimer,"Oppenheimer, Andrés",,"=""""","=""""",4,4.25,Debate,Kindle Edition,,2018,2018,,2021/11/27,,,read,,,,1,,,0,,,,,
27695033,Hombres desnudos,Alicia Giménez Bartlett,"Bartlett, Alicia Giménez",,"=""""","=""""",3,3.53,Editorial Planeta,Kindle Edition,354,2015,2015,,2021/11/27,,,read,,,,1,,,0,,,,,
42439555,Premio Planeta 2018: ganador y finalista (pack),Santiago Posteguillo,"Posteguillo, Santiago",Ayanta Barilli,"=""""","=""""",4,4.14,Editorial Planeta,Kindle Edition,1094,2018,,,2021/11/27,,,read,,,,1,,,0,,,,,
44600898,Imposible hasta que se hace,Alfonso Aguirre,"Aguirre, Alfonso",,"=""""","=""""",1,4.42,,Kindle Edition,307,2019,,,2021/11/27,,,read,,,,1,,,0,,,,,
42867100,Nuestros comienzos en la vida,Patrick Modiano,"Modiano, Patrick",María Teresa Gallego Urrutia,"=""""","=""""",4,3.38,Anagrama,Kindle Edition,112,2018,2017,,2021/11/27,,,read,,,,1,,,0,,,,,
41024900,Los inocentes,Oswaldo Reynoso,"Reynoso, Oswaldo",,"=""""","=""""",4,3.86,ALFAGUARA,Kindle Edition,,2018,1961,,2021/11/27,,,read,,,,1,,,0,,,,,
43185028,Mi año de descanso y relajación,Ottessa Moshfegh,"Moshfegh, Ottessa",Inmaculada C. Pérez Parra,"=""""","=""""",4,3.71,Alfaguara,Kindle Edition,209,2019,2018,,2021/11/27,,,read,,,,1,,,0,,,,,
43256578,"La muerte del comendador, Libro 2 (Kishidancho Goroshi, #2)",Haruki Murakami,"Murakami, Haruki","Yoko Ogihara, Fernando Cordobés","=""""","=""""",5,3.94,Tusquets Editores S.A.,Kindle Edition,454,2019,2017,,2021/11/27,,,read,,,,1,,,0,,,,,
39643666,La edad de la penumbra: Cómo el cristianismo destruyó el mundo clásico,Catherine Nixey,"Nixey, Catherine",,"=""""","=""""",3,4.04,TAURUS,Kindle Edition,344,2018,2017,,2021/11/27,,,read,,,,1,,,0,,,,,
13244538,Las legiones malditas (Africanus #2),Santiago Posteguillo,"Posteguillo, Santiago",,"=""""","=""""",4,4.67,Ediciones B,Kindle Edition,984,2015,2008,,2021/11/27,,,read,,,,1,,,0,,,,,
42850762,Flores sobre el infierno,Ilaria Tuti,"Tuti, Ilaria",Xavier González Rovira,"=""""","=""""",4,3.93,Alfaguara,Kindle Edition,352,2019,2018,,2021/11/27,,,read,,,,1,,,0,,,,,
41429059,Aquí hay dragones,Florencia Bonelli,"Bonelli, Florencia",,"=""""","=""""",3,4.36,SUMA DE LETRAS,Kindle Edition,1029,2018,,,2021/11/27,,,read,,,,1,,,0,,,,,
43495848,Serotonina,Michel Houellebecq,"Houellebecq, Michel",Jaime Zulaika,"=""""","=""""",4,3.58,Anagrama,Kindle Edition,288,2019,2019,,2021/11/27,,,read,,,,1,,,0,,,,,
23835643,Papeles en el viento,Eduardo Sacheri,"Sacheri, Eduardo",,"=""""","=""""",4,4.17,Alfaguara,Kindle Edition,424,2011,2011,,2021/11/27,,,read,,,,1,,,0,,,,,
909524,The Story of Art,E.H. Gombrich,"Gombrich, E.H.",,"=""0714832472""","=""9780714832470""",5,3.95,Phaidon,Paperback,688,1995,1950,,2021/11/27,,,read,,,,1,,,0,,,,,
43539926,Para Helga,Bergsveinn Birgisson,"Birgisson, Bergsveinn",,"=""""","=""""",3,3.75,LUMEN,Kindle Edition,128,2019,2010,,2021/11/27,,,read,,,,1,,,0,,,,,
29330759,No derrames tus lágrimas por nadie que viva en estas calles,Patricio Pron,"Pron, Patricio",,"=""""","=""""",3,3.51,LITERATURA RANDOM HOUSE,Kindle Edition,295,2016,2016,,2021/11/27,,,read,,,,1,,,0,,,,,
44158522,Canciones para el incendio,Juan Gabriel Vásquez,"Vásquez, Juan Gabriel",,"=""""","=""""",4,4.10,ALFAGUARA,Kindle Edition,,2019,2018,,2021/11/27,,,read,,,,1,,,0,,,,,
44077211,"Sábado, domingo",Ray Loriga,"Loriga, Ray",,"=""""","=""""",0,2.96,ALFAGUARA,Kindle Edition,,2019,,,2021/11/27,,,read,,,,1,,,0,,,,,
42392504,"Reina roja (Antonia Scott, #1)",Juan Gomez-Jurado,"Gomez-Jurado, Juan",,"=""""","=""""",0,4.10,Ediciones B,Kindle Edition,568,2018,2018,,2021/11/27,,,read,,,,1,,,0,,,,,
43861678,Una historia de España,Arturo Pérez-Reverte,"Pérez-Reverte, Arturo",,"=""""","=""""",0,4.22,ALFAGUARA,Kindle Edition,308,2019,2019,,2021/11/27,,,read,,,,1,,,0,,,,,
31396339,The Big Book of Dashboards: Visualizing Your Data Using Real-World Business Scenarios,Steve Wexler,"Wexler, Steve","Jeffrey Shaffer, Andy Cotgreave","=""1119282713""","=""9781119282716""",3,4.19,Wiley,Paperback,448,2017,,,2021/11/27,,,read,,,,1,,,0,,,,,
18001084,El asesinato de Pitágoras,Marcos Chicot,"Chicot, Marcos",,"=""""","=""""",4,3.97,Amazon,Kindle Edition,620,,2013,,2021/11/27,,,read,,,,1,,,0,,,,,
43301723,Dos espías en Caracas,Moisés Naím,"Naím, Moisés",,"=""""","=""""",5,3.92,EDICIONES B,Kindle Edition,384,2019,2019,,2021/11/27,,,read,,,,1,,,0,,,,,
43698093,Sodoma: Poder y escándalo en el Vaticano (No Ficción),Frédéric Martel‏,"Martel‏, Frédéric","Juan Vivanco, Maria Pons","=""""","=""""",3,3.83,Roca Editorial,Kindle Edition,604,2019,2019,,2021/11/27,,,read,,,,1,,,0,,,,,
44078440,Less (AdN) (Adn Alianza De Novelas),Andrew Sean Greer,"Greer, Andrew Sean",Miguel Marqués Muñoz,"=""""","=""""",3,3.66,Alianza Editorial,Kindle Edition,280,2019,2017,,2021/11/27,,,read,,,,1,,,0,,,,,
44224144,Culo subido: Y otros relatos de humor,Fernando Aramburu,"Aramburu, Fernando","Lola Beccaria, Juan Bonilla, Ángeles Caso, Agustín Fernández Mallo, Fernando Marías, Montero Glez, Andrés Neuman, Kirmen Uribe, Iban Zaldua, Juan Bas","=""""","=""""",4,3.40,Alberdania,Kindle Edition,,2010,,,2021/11/27,,,read,,,,1,,,0,,,,,
41068807,En medio de extrañas víctimas,Daniel Saldaña París,"París, Daniel Saldaña",,"=""""","=""""",4,3.65,Sexto Piso,Kindle Edition,238,2016,2013,,2021/11/27,,,read,,,,1,,,0,,,,,
39383304,Los ingrávidos,Valeria Luiselli,"Luiselli, Valeria",,"=""""","=""""",4,3.62,Sexto Piso,Kindle Edition,,2018,2011,,2021/11/27,,,read,,,,1,,,0,,,,,
44946859,La vida a ratos,Juan José Millás,"Millás, Juan José",,"=""""","=""""",3,4.02,ALFAGUARA,Kindle Edition,492,2019,2019,,2021/11/27,,,read,,,,1,,,0,,,,,
41806169,El cielo a tiros,Jorge Franco,"Franco, Jorge",,"=""""","=""""",3,3.86,ALFAGUARA,Kindle Edition,374,2018,2018,,2021/11/27,,,read,,,,1,,,0,,,,,
36101916,"El último catón (Catón, #1)",Matilde Asensi,"Asensi, Matilde",,"=""""","=""""",2,3.89,,Kindle Edition,534,2017,2001,,2021/11/27,,,read,,,,1,,,0,,,,,
39683182,El último samurái,Helen DeWitt,"DeWitt, Helen",,"=""""","=""""",3,4.15,Literatura Random House,Kindle Edition,,2018,2000,,2021/11/27,,,read,,,,1,,,0,,,,,
44316231,Bitna bajo el cielo de Seúl,J.M.G. Le Clézio,"Clézio, J.M.G. Le",,"=""""","=""""",4,3.56,LUMEN,Kindle Edition,166,2019,2018,,2021/11/27,,,read,,,,1,,,0,,,,,
44515481,"La Red Púrpura (Elena Blanco, #2)",Carmen Mola,"Mola, Carmen",,"=""""","=""""",2,4.26,Alfaguara,Kindle Edition,432,2019,2019,,2021/11/27,,,read,,,,1,,,0,,,,,
